Name,Age,Gender,Job,House Unit Number,Moving-in Date,Monthly Rental Fee,"July, 2020","August, 2020","September, 2020","October, 2020","November, 2020","December, 2020"
Lonnie Gotto  ,81,M,Landscape Architect,,3/5/2001,667.07,Paid,Paid,Paid,Paid,Paid,Paid
Brain Fluke  ,99,M,Compliance Officer,,5/13/2001,574.75,Paid,Paid,Paid,Paid,Paid,Paid
Guadalupe Mauricio  ,58,M,Radiologic Technologist,,10/26/2001,582.17,Paid,Paid,Paid,Paid,Paid,Paid
Prince Scot  ,67,M,Customer Service Representative,,8/22/2002,652.63,Paid,Paid,Paid,Paid,Paid,Paid
Claud Macleod  ,68,M,Security Guard,,3/28/2003,491.11,Paid,Paid,Paid,Paid,Paid,Paid
Thurman Cassidy  ,32,M,Computer Hardware Engineer,,12/28/2003,734.25,Paid,Paid,Paid,Paid,Paid,Paid
Rocco Gray  ,45,M,Cashier,,9/7/2007,523.38,Paid,Paid,Paid,Not Paid,Paid,Paid
Colin Smitherman  ,23,M,Occupational Therapist,,9/9/2007,662.48,Paid,Paid,Paid,Paid,Paid,Paid
Warren Mchale  ,71,M,Computer Systems Administrator,,10/25/2007,692.87,Paid,Paid,Paid,Paid,Paid,Paid
Marlin Mohammed  ,99,M,Radiologic Technologist,,4/26/2009,534.84,Paid,Paid,Paid,Paid,Paid,Paid
Jeffry Mauk  ,60,M,HR Specialist,,1/14/2010,664.44,Paid,Paid,Paid,Paid,Not Paid,Paid
Nicholas Goh  ,46,M,Human Resources Assistant,,3/9/2010,724.74,Paid,Paid,Paid,Paid,Paid,Paid
Willie Tarin  ,100,M,Judge,,7/10/2010,789.32,Paid,Paid,Paid,Paid,Paid,Paid
Charlette Demeo  ,58,F,Mason,,1/19/2011,785.89,Paid,Paid,Paid,Paid,Paid,Paid
Zella Acedo  ,57,F,Computer Systems Administrator,,1/30/2011,623.89,Paid,Paid,Paid,Paid,Paid,Paid
Lili Chipps  ,47,F,Farmer,,5/25/2011,784.82,Paid,Not Paid,Paid,Paid,Paid,Paid
Gricelda Swilley  ,49,F,Actuary,,5/12/2012,521.83,Paid,Paid,Paid,Paid,Paid,Paid
Rozanne Donato  ,40,F,Designer,,9/13/2017,704.88,Paid,Paid,Paid,Paid,Paid,Paid
Bernie Farias  ,59,M,Customer Service Representative,,11/10/2017,487.19,Paid,Paid,Paid,Paid,Paid,Paid
Filiberto Kleist  ,30,M,Real Estate Agent,,12/24/2017,752.22,Paid,Paid,Paid,Paid,Paid,Paid
Williams Laseter  ,24,M,Janitor,,10/23/2018,657.1,Paid,Paid,Paid,Paid,Paid,Paid
Major Polhemus  ,90,M,Musician,,4/25/2019,628.96,Paid,Paid,Paid,Paid,Paid,Paid
Kenneth Kean  ,51,M,Web Developer,,11/9/2019,610.21,Paid,Paid,Paid,Paid,Paid,Paid
Lawerence Hwang  ,89,M,School Counselor,,7/23/2020,525.47,Paid,Paid,Paid,Paid,Paid,Paid
Ira Luedtke  ,98,M,Recreational Therapist,,3/26/2001,778.89,Paid,Paid,Paid,Paid,Paid,Paid
Dewayne Roeder  ,71,M,Personal Care Aide,,11/16/2001,704.36,Paid,Paid,Paid,Paid,Paid,Paid
Oswaldo Kasprzak  ,83,M,Police Officer,,9/10/2002,788.43,Paid,Paid,Paid,Paid,Paid,Paid
Faustino Wilhoit  ,93,M,Executive Assistant,,6/15/2003,694.67,Paid,Paid,Paid,Paid,Paid,Paid
Jc Albertini  ,47,M,Editor,,7/13/2004,736.73,Paid,Paid,Paid,Paid,Paid,Paid
Houston Graves  ,52,M,Mathematician,,6/17/2005,650.62,Paid,Paid,Paid,Paid,Paid,Paid
Ben Almquist  ,21,M,Receptionist,,3/2/2006,583.46,Paid,Paid,Paid,Paid,Paid,Paid
Nickolas Huggins  ,92,M,Recreational Therapist,,5/9/2006,589.4,Paid,Paid,Paid,Paid,Paid,Paid
Lady Fiorillo  ,92,F,Telemarketer,,12/2/2006,500.6,Paid,Paid,Paid,Paid,Paid,Paid
Samara Duffel  ,43,F,Computer Systems Analyst,,12/19/2007,527.42,Paid,Paid,Paid,Paid,Paid,Paid
Silva Costillo  ,94,F,Civil Engineer,,1/4/2008,485.77,Paid,Paid,Paid,Paid,Paid,Paid
Shad Garber  ,29,M,Physician,,7/17/2008,613.71,Paid,Paid,Paid,Paid,Paid,Paid
Milton Cardwell  ,94,M,Physical Therapist,,9/6/2011,591.06,Paid,Paid,Paid,Paid,Paid,Paid
Vickey Hunkins  ,54,F,Art Director,,11/29/2011,584.49,Paid,Paid,Paid,Not Paid,Paid,Paid
Dewey Bruemmer  ,54,M,Recreation & Fitness Worker,,6/5/2012,746.47,Paid,Paid,Paid,Paid,Paid,Paid
Kendrick Maury  ,65,M,Physical Therapist,,12/11/2012,447.79,Paid,Paid,Paid,Paid,Paid,Paid
Anderson Maycock  ,37,M,Insurance Agent,,3/31/2013,590.92,Paid,Paid,Paid,Paid,Paid,Paid
Christeen Bolivar  ,67,F,Receptionist,,8/25/2014,582.54,Paid,Paid,Paid,Paid,Paid,Paid
Lara Arzate  ,36,F,Automotive mechanic,,11/25/2015,773.91,Paid,Paid,Paid,Paid,Paid,Paid
Natasha Melendrez  ,68,F,School Psychologist,,4/15/2016,561.89,Paid,Paid,Paid,Paid,Paid,Paid
Yen Peet  ,34,F,Systems Analyst,,10/3/2016,446.5,Paid,Paid,Not Paid,Paid,Paid,Paid
Arthur Glatt  ,69,M,Software Developer,,3/15/2017,734.72,Paid,Paid,Paid,Paid,Paid,Paid
Jeri Fetterolf  ,28,F,Educator,,2/9/2018,646.37,Paid,Paid,Paid,Paid,Paid,Paid
Lincoln Danks  ,98,M,Paralegal,,8/9/2020,558.68,Paid,Paid,Paid,Paid,Paid,Paid
Rory Lajoie  ,35,M,Food Scientist,,10/5/2020,700.42,Paid,Paid,Paid,Paid,Paid,Paid
